,contribution,proportion
History,5338.149999999998,0.24820523550471935
Fantasy,2447.4749999999976,0.11379899567582638
Action/Adventure,2419.5666666666634,0.11250135614761073
Economic,2182.9166666666656,0.10149796190387622
Thriller,1674.916666666667,0.07787774523023515
Social,1541.2666666666682,0.07166348940654989
Animals,1251.0250000000003,0.05816827079555496
Science Fiction,1247.3000000000013,0.057995071372111476
Arts,967.1750000000002,0.04497024224671039
Fighting,887.925000000001,0.04128539545264338
Sports,854.2000000000006,0.03971730134374858
Education,695.0833333333338,0.03231893492041354
