,contribution,proportion
History,3740.1083333333318,0.2789044245587867
Action/Adventure,1472.5916666666683,0.10981295053442712
Fantasy,1443.5916666666674,0.10765038528461349
Economic,1436.6250000000005,0.10713087248322146
Social,936.4250000000005,0.06983035048471291
Thriller,901.4750000000005,0.06722408650261
Science Fiction,757.9083333333339,0.05651814566244098
Animals,636.3000000000004,0.04744966442953021
Sports,629.8000000000004,0.04696495152870993
Fighting,559.4333333333338,0.04171762366393241
Arts,538.3250000000005,0.040143549589858336
Education,357.41666666666634,0.026652995277156317
